"addon"
{
    "shushan_suicide"           "自杀"
    "shushan_appellation"       "称号"
    "avalon_ranking_list_heroes"    "英雄："
    "avalon_ranking_list_range"    "排名范围："
    "shushan_tags_kill_fushuizhifeng"   "已击杀覆水之凤"
    "shushan_kill_fushuizhifeng_start_say"  "击杀覆水之凤计时开始，五分钟内无法击杀其将重置副本"
    "shushan_ranking_list_table_title"      "难度 / 速率 / 玩家数量：{d:Difficulty} / {d:GameRate} / {d:PlayerCount}"
    "shushan_ranking_list_table_post_time"    "通过时间"
    "shushan_ranking_list_table_player"     "玩家"
    "shushan_ranking_list_table_order_number"     "排名"
    "shushan_roles"     "角色: "
    "avalon_ranking_list_date_today"            "今日"
    "avalon_ranking_list_date_this_week"        "本周"
    "avalon_ranking_list_date_this_month"       "本月"
    "avalon_ranking_list_date"      "日期："
    "avalon_ranking_list_refresh"   "刷新"
    "avalon_ranking_list_player_count"  "玩家数量："
    "avalon_ranking_list_game_rate"     "速率："
    "avalon_ranking_list_difficulty"    "难度："
    "avalon_ranking_list"       "排行榜"
    "shushan_simulate_multiplayer_mode" "模拟多人模式"
    "SHUSHAN_FB1"        "百花谷 & 狼穴"
    "SHUSHAN_FB2"        "石河畔"
    "SHUSHAN_FB3"        "九龙寨"
    "SHUSHAN_FB4"        "铸铁山"
    "SHUSHAN_FB5"        "疾风崖"
    "SHUSHAN_FB6"        "飞蝗河谷"
    "SHUSHAN_FB7"        "千年雪山"
    "SHUSHAN_FB8"        "天地熔炉"
    "SHUSHAN_FB9"        "蚩尤冢"
    "SHUSHAN_FB12"        "鬼门关"
    "SHUSHAN_FB14"        "女娲秘境"
    "SHUSHAN_FB16"        "石山"
    "SHUSHAN_FB18"        "天池"
    "shushan_settings_dungeon_manager"        "副本管理器（试行）"
    "shushan_settings_dungeon_manager_node"        "关闭副本之后副本只保留BOSS"
    "shushan_game_pasused_text1"        "????????????????"
    "shushan_game_pasused_text2"        "僵"
    "shushan_game_pasused_text3"        "你们打不打！！！！！！"
    "shushan_game_pasused_text4"        "老铁,我们这不是在玩木头人!!!"
    "shushan_game_pasused_text5"        "你别紧张,我就摸一下!!!"
    "shushan_attacking_start"        "开始刷怪"
    "shushan_attacking_stop"        "停止刷怪"
    "shushan_quick_game_over_vote_format_enable"        "开启BOSS进攻模式"
    "shushan_quick_game_over_vote_format_disable"        "无法开启BOSS进攻模式，目前投票数（{d:Count} / {d:MaxCount}）"
    "shushan_do_you_want_to_quick_game_over"        "你真的开启BOSS进攻模式吗？<br>这将跳过普通的进攻小怪直接刷进攻的BOSS，如果你觉得自己可以通关，那么可以开启此模式。"
    "shushan_quick_game_over"        "BOSS进攻模式"
    "fate_random_again_text"        "你算准了？"
    "heishishangren_three2one_tooltip"        "点击打开三换一界面"
    "shushan_shengling_error_msg_xiezi"        "鞋子融合失败，没有对应装备！"
    "shushan_shengling_error_msg_maozi"        "帽子融合失败，没有对应装备！"
    "shushan_shengling_error_msg_yifu"        "衣服融合失败，没有对应装备！"
    "shushan_gambling_fail"        "赌博失败"
    "shushan_gambling"        "赌博 - 金币 {d:Gold} ({d:percent}%成功率)"
    "shushan_fort_level"        "等级: {d:level}"
    "shushan_compose_item_drap_tips"        "将<font color='#FEBD43'>合成界面</font>里的物品拖至此可追踪材料"
    "shushan_tips_1"        "拖动装备至装备栏右方可以做一些快捷操作"
    "shushan_tips_2"        "一些难以到达的地点可以通过space键进行跳跃到达"
    "shushan_tips_3"        "Shift不仅可以闪避BOSS的技能，也能切换至冲刺状态"
    "shushan_tips_4"        "元会点可以炼化装备，学习和升级技能，请谨慎分配"
    "shushan_tips_5"        "初期利用传送师进行传送可以节省大量的时间"
    "shushan_tips_6"        "平均分配属性点更容易提升境界"
    "shushan_tips_7"        "停止刷怪和升级基地可以让你有更多的空余时间进行修炼"
    "shushan_tips_8"        "冰蚀宝坠是一件不错的增加输出的法宝，最好不要轻易卖掉"
    "shushan_tips_9"        "整理背包可以分类好材料和等级"
    "shushan_tips_10"        "养成分解和出售的习惯可以让背包不会满的太快"
    "shushan_tips_11"        "不知道用途的道具可以扔入公用仓库，后期可能意外的有用"
    "shushan_tips_12"        "如果合成缺少配件就看看公共仓库吧，说不定队友已经帮你准备好了"
    "shushan_tips_13"        "完成天剑之行后可以获得传送技能，可以随时随地进行传送并且不需要耗费金币"
    "shushan_tips_14"        "矿石是打造和升级武器的好材料"
    "shushan_tips_15"        "分解武器可以获得灵石碎片，可以配合矿石打造出强力的武器"
    "shushan_tips_16"        "炼化失败后会得到无灵石，可以增加同等级物品的炼化成功率"
    "shushan_tips_17"        "大部分材料信使无法拾取，但木材除外，初期可以利用信使的快速拾取技能拾取木材"
    "shushan_tips_18"        "点击任务追踪的标题可以进行自动寻路和隐藏"
    "shushan_tips_19"        "物品描述中有物品的获得方法和可合成物品"
    "shushan_tips_20"        "捕鱼和搜集木材是初期获得经验和经济的良好方式"
    "shushan_tips_21"        "每个角色的初期节奏不同，有些角色达到15级就可以开始做任务了，而有些角色需要达到25级"
    "shushan_tips_22"        "村民和玄冰宫宫主可以解封道术和心法，但需要足够的境界和元会才能向各大NPC学习"
    "shushan_tips_23"        "一些副本需要走到传送阵上才能进入"
    "shushan_tips_24"        "某些BOSS似乎需要特殊召唤"
    "shushan_tips_25"        "守家可以获得大量的积分，在初期可以获得一些难以获得的晶石"
    "shushan_tips_26"        "完成任务的时候顺手把通缉一起做了吧"
    "shushan_tips_27"        "进攻怪的强度会随着玩家数量的提升而提升，但野外BOSS的刷新频率也会随之提高"
    "shushan_tips_28"        "不同难度怪物的强度和游戏体验会有很大的不同"
    "shushan_tips_29"        "通缉积分可以获得和升级翅膀"
    "shushan_tips_30"        "购买铲子和罗盘可以在疾风崖挖到宝物"
    "shushan_tips_31"        "不用执着于套装，散件有时候效果更好"
    "npc_dota_hero_legion_commander"        "摩罗"
    "shushan_item_to_be_collect"        "待收集物品"
    "shushan_prompt_hero_state_upgrade"        "可以前往<font color='#00F245'>蜀山掌门</font>升级境界"
    "shushan_do_you_want_eat_item_0380"        "你确定想吃掉<font color='#FF17DE'>本命法器</font>吗？<br><br>吃掉之后你可以永久获得<font color='#FF17DE'>本命法器</font>的武器系数和一半全属性"
    "avalon_vote_open_fog_of_war"        "投票-开启战争迷雾"
    "shushan_random_assign_attribute_points"        "点击自动分配属性点，分配顺序筋骨->身法->道法"
    "error_msg_can_not_upgrade_fort_because_maxlevel"        "基地已到达最高级，无法再升级"
    "error_msg_can_not_upgrade_fort_because_level"        "基地等级无法超过当前刷怪波数"
    "error_msg_can_not_find_item"        "目前不提供寻找物品功能"
    "msg_can_not_upgrade_extra_abilities_for_state"        "未达到境界要求"
    "msg_can_not_upgrade_extra_abilities_for_yuanhui"        "你没有足够的元会升级技能"
    "shushan_msg_upgrade_ability_success_xinfa"        "升级<font color='#B4D7FF'>[心法]</font>技能成功"
    "shushan_msg_upgrade_ability_success_daoshu"        "升级<font color='#B4D7FF'>[道术]</font>技能成功"
    "shushan_learn_extra_abilities_upgrade_require_title"        "升级条件"
    "shushan_learn_extra_abilities_label_daoshu"        "[道术]"
    "shushan_learn_extra_abilities_label_xinfa"        "[心法]"
    "shushan_learn_extra_abilities_require_title"        "学习条件"
    "shushan_learn_extra_abilities_require_state"        "· 境界达到<font color='#FFCB10'>{s:Name}</font>以上"
    "shushan_learn_extra_abilities_require_quests"        "· 完成任务 - <font color='#FFCB10'>{s:Name}</font>"
    "msg_can_not_learn_extra_abilities"        "无法学习此技能"
    "msg_can_not_learn_extra_abilities_for_yuanhui"        "你没有足够的元会学习技能"
    "msg_only_one_player_is_allowed_to_enter"        "只允许一个玩家进入这个副本"
    "avalon_can_not_jump_to_here"        "无法跳跃到那里"
    "avalon_compare_item"        "[--  替换此装备将产生以下变化  --]"
    "shushan_camera_lock_to_hero"        "镜头锁定"
    "avalon_bag_sort_items"        "整理"
    "avalon_public_stash_drop"        "放到公用仓库"
    "avalon_public_stash"        "公用仓库"
    "shushan_assign_attribute_str_tooltip"        "分配属性点到筋骨"
    "shushan_assign_attribute_agi_tooltip"        "分配属性点到身法"
    "shushan_assign_attribute_int_tooltip"        "分配属性点到道法"
    "shushan_disable_bgm"        "禁用背景音乐<br>(只有一个玩家的时候此项才有效)"
    "shushan_disable_bgm_dialog_text"        "你确定禁用背景音乐？(禁用之后无法恢复)"
    "shushan_fort_attacked"        "受到攻击!!! (剩余生命值:<font color='#FFBC12'>{d:percent}%</font>)"
    "avalon_attached_soul_attaching"        "<font color='#FF17DE'>附魂</font> - <font color='#00F245'>{s:AttachedSoulItemName}</font>"
    "avalon_attached_soul"        "附魂"
    "avalon_attached_soul_item"        "魂类物品"
    "shushan_sigil"        "符印"
    "shushan_sigil_drag_tooltip"        "拖动符印到此处"
    "shushan_sigil_error_msg_kind"        "这个物品不是符印"
    "avalon_drap_equipment_to_here"        "拖动装备到此处"
    "avalon_stage_1"        "第一阶段"
    "avalon_stage_2"        "第二阶段"
    "avalon_stage_3"        "第三阶段"
    "avalon_stage_4"        "第四阶段"
    "avalon_stage_5"        "第五阶段"
    "avalon_stage_6"        "第六阶段"
    "avalon_stage_7"        "第七阶段"
    "avalon_mixing_weapon"        "炼器"
    "avalon_decompose"        "分解"
    "avalon_decompose_can_be_obtain"        "分解可获得："
    "shushan_decompose_error_msg_quality"        "无法分解E,D品质的装备"
    "shushan_decompose_error_msg_kind"        "只允许分解装备"
    "shushan_decompose_error_msg_shop"        "无法分解商店购买的物品"
    "avalon_players_info"        "玩家信息"
    "shushan_fate_nil"          "无"
    "shushan_fate_title"        "天命"
    "shushan_fate_dixianzhuanshi"        "地仙转世"
    "shushan_fate_fuhao"        "富豪"
    "shushan_fate_tiancai"        "天才"
    "shushan_fate_wuzu"        "巫族"
    "shushan_fate_qingqiushanhouren"        "青丘山后人"
    "shushan_fate_tonglingshi"        "通灵师"
    "shushan_fate_wakuangzongshi"        "挖矿宗师"
    "shushan_fate_xunshoushi"        "驯兽师"
    "shushan_fate_jinchanzi"        "金蝉子"
    "shushan_fate_lianqitianshi"        "炼器天师"
    "shushan_fate_fanjidashi"        "反击大师"
    "shushan_fate_julingshenzu"        "巨灵神足"
    "shushan_fate_shennonghouyi"        "神农后裔"
    "shushan_fate_xiulianzhe"        "修炼者"
    "shushan_fate_shanggujinwu"        "上古金乌"
    "shushan_fate_bukuai"        "捕快"
    "shushan_fate_lianhuazhe"        "炼化者"
    "shushan_fate_xingyuner"        "幸运儿"
    "shushan_fate_tuoyanzhenghuanzhe"        "拖延症患者"
    "shushan_fate_buyudaren"        "捕鱼达人"
    "shushan_fate_zuoyoufengyuan"        "左右逢源"
    "shushan_fate_zhuanshizhe"        "转世者"
    "shushan_fate_fojiaoxintu"        "佛教信徒"
    "shushan_fate_canjiren"        "残疾人"
    "shushan_fate_shenyi"        "神医"
    "shushan_fate_dushen"        "赌神"
    "shushan_fate_qigongdashi"        "气功大师"
    "shushan_courier_button_tooltip"        "</font><font color='#FFBC12'>信使</font><br>单击选择<br>双击选择并移动镜头到此单位"
    "shushan_ore_spirit_button_tooltip"        "</font><font color='#FFBC12'>矿精</font><br>单击选择<br>双击选择并移动镜头到此单位"
    "shushan_collect_ore_exp_title"        "采集经验：{d:EXP}"
    "shushan_fortune_teller_tooltip"        "可否让老夫为你算上一挂"
    "shushan_fortune_teller_say"        "老夫已为你算命，无需再算"
